City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
309,Huilong,CN,88.93,broken clouds,31.8111,121.655,Hilton Garden Inn Qidong
312,Gushikawa,JP,89.19,broken clouds,26.3544,127.8686,Kirari Guest House
320,Marrakesh,MA,87.87,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
323,Tupelo,US,77.99,broken clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
326,Cairns,AU,79.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
327,Careiro Da Varzea,BR,81.21,few clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
332,Pochutla,MX,75.81,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
334,Wenatchee,US,76.55,broken clouds,47.4235,-120.3103,SpringHill Suites by Marriott Wenatchee
335,Derzhavinsk,KZ,83.88,few clouds,51.1,66.3167,Ooo.khim Baza
336,Gat,IL,81.39,clear sky,31.61,34.7642,OlusHome
338,Georgetown,MY,88.9,scattered clouds,5.4112,100.3354,Cititel Penang
342,Kathmandu,NP,77.22,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
343,Sakakah,SA,81.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
344,Madison,US,80.4,clear sky,34.7334,-86.5667,Embassy Suites by Hilton Huntsville
348,Boa Vista,BR,78.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
351,Iracoubo,GF,77.92,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
353,Novyy Svit,UA,75.96,broken clouds,47.8059,38.0211,Энергетик
355,Bethel,US,79.63,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
358,Ushtobe,KZ,89.19,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
359,Ust-Nera,RU,75.52,few clouds,64.5667,143.2,Hotel Ust-Nera
362,Salalah,OM,76.1,light rain,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
364,Labrea,BR,76.53,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
368,Bengkulu,ID,80.46,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
372,Kundiawa,PG,79.77,clear sky,-6.0167,144.9667,Pari
373,Kuala Terengganu,MY,87.75,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
376,Kudahuvadhoo,MV,82.15,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
380,Umm Lajj,SA,84.87,broken clouds,25.0213,37.2685,Moon light Furnished Units
384,Santa Cruz De Tenerife,ES,87.58,clear sky,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
390,Douentza,ML,80.11,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
395,Kaliganj,BD,80.24,overcast clouds,23.4095,89.1402,অয়ন বিশ্বাস হাউজ
396,Davila,PH,89.58,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
397,Monrovia,LR,75.06,overcast clouds,6.3005,-10.7969,Sunset Inn
401,Kerema,PG,81.64,scattered clouds,-7.9631,145.7785,Frena Lodge
407,Baracoa,CU,79.34,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
408,San Lawrenz,MT,79.86,clear sky,36.0553,14.204,San Andrea Hotel
414,Abeche,TD,79.66,overcast clouds,13.8292,20.8324,Assaleh Hamdan Haroune
415,Laguna,US,80.74,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
418,Locri,IT,79.32,clear sky,38.2414,16.2623,Grand Hotel President
423,Kailua,US,82.02,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
425,Yuryuzan,RU,77.27,clear sky,54.8633,58.4219,"Сахарова,44 Отель"
426,Bellefontaine,US,76.44,broken clouds,40.3612,-83.7597,Super 8 by Wyndham Bellefontaine
427,Bintulu,MY,82.81,scattered clouds,3.1667,113.0333,900 Boutique INN
432,Lorengau,PG,85.5,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
433,Bubaque,GW,78.49,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
436,Phangnga,TH,87.84,overcast clouds,8.4509,98.5298,Sunimit Mansion
437,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
